"Dimension","Facets","Time_GLPK","Optimum_GLPK","Time_Cutting_Planes","Optimum_Cutting_Planes"
30,110,0,-2397.60150933367,0,-367.866219748614
30,110,0.00199999999949796,-2323.3338975699,0.451999999999316,-2306.09102526009
30,110,0,-2785.15344220128,0,-2785.15344211275
30,110,0,-2623.85764621069,0,-2616.46672915139
40,140,0.00399999999990541,-3457.98037693676,0.503999999999905,-3457.98037680849
40,140,0,-2161.898953852,0,-2161.89895377975
40,140,0.00199999999949796,-2997.30781063316,0.503999999999905,-2997.30781055949
40,140,0,-2840.97535314052,0,-2840.97535305797
40,140,0,-2789.67715088061,0,-2789.67715078504
50,170,0,-3591.25285527199,0.456000000000131,-3591.25285516932
50,170,0,-4151.21644547023,0,-4151.21644530528
50,170,0.00199999999949796,-3994.82619770483,0.457000000000335,-3994.8261975817
50,170,0,-4500.19796929022,0,-4500.19796919336
50,170,0,-4107.00025103427,0,-4083.08515032068
10,50,0.00399999999990541,-501.687365075895,1.57200000000012,-501.687365064298
10,50,0,-471.693670755809,0,-84.036630043257
10,50,0.00299999999970169,-689.67330163663,1.57399999999961,-689.673301612869
10,50,0,-541.507152320636,0,-39.6310428643722
10,50,0,-634.590778666017,0,-289.022424720239
20,80,0.00399999999990541,-1211.82179361594,1.49200000000019,-1211.82179358488
20,80,0,-1260.40938857924,0,796.991136180708
20,80,0.00300000000061118,-1083.55722655461,1.48999999999978,-1083.55722650889
20,80,0,-717.969203357398,0,-717.96920332871
20,80,0,-1274.00448290875,0,-1274.00448286128
30,110,0,-2598.45747254217,1.61600000000021,178.354474534671
30,110,0,-2397.60150933367,0,-367.866219748614
30,110,0.00300000000061118,-2323.3338975699,1.61700000000019,-2306.09102526009
30,110,0,-2785.15344220128,0,-2785.15344211275
30,110,0,-2623.85764621069,0,-2616.46672915139
40,140,0.00399999999990541,-3457.98037693676,1.65200000000004,-3457.98037680849
40,140,0,-2161.898953852,0,-2161.89895377975
40,140,0.00299999999970169,-2997.30781063316,1.65399999999954,-2997.30781055949
40,140,0,-2840.97535314052,0,-2840.97535305797
40,140,0,-2789.67715088061,0,-2789.67715078504
50,170,0.00399999999990541,-3591.25285527199,1.68399999999997,-3591.25285516932
50,170,0,-4151.21644547023,0,-4151.21644530528
50,170,0.00299999999970169,-3994.82619770483,1.68000000000029,-3994.8261975817
50,170,0,-4500.19796929022,0,-4500.19796919336
50,170,0,-4107.00025103427,0,-4083.08515032068
10,50,0.00400000000013279,-501.687365075895,4.29200000000014,-501.687365064298
10,50,0,-471.693670755809,0,-84.036630043257
10,50,0.00500000000010914,-689.67330163663,4.29200000000037,-689.673301612869
10,50,0,-541.507152320636,0,-39.6310428643722
10,50,0,-634.590778666017,0,-289.022424720239
20,80,0.00399999999990541,-1211.82179361594,4.10400000000004,-1211.82179358488
20,80,0,-1260.40938857924,0,796.991136180708
20,80,0.00399999999990541,-1083.55722655461,4.10400000000027,-1083.55722650889
20,80,0,-717.969203357398,0,-717.96920332871
20,80,0,-1274.00448290875,0,-1274.00448286128
30,110,0.00400000000013279,-2598.45747254217,4.08799999999997,178.354474534671
30,110,0,-2397.60150933367,0,-367.866219748614
30,110,0.00500000000010914,-2323.3338975699,4.08699999999953,-2306.09102526009
30,110,0,-2785.15344220128,0,-2785.15344211275
30,110,0,-2623.85764621069,0,-2616.46672915139
40,140,0.00400000000013279,-3457.98037693676,3.75199999999995,-3457.98037680849
40,140,0,-2161.898953852,0,-2161.89895377975
40,140,0.00399999999990541,-2997.30781063316,3.75,-2997.30781055949
40,140,0,-2840.97535314052,0,-2840.97535305797
40,140,0,-2789.67715088061,0,-2789.67715078504
50,170,0.0080000000000382,-3591.25285527199,4.21199999999999,-3591.25285516932
50,170,0,-4151.21644547023,0,-4151.21644530528
50,170,0.00500000000010914,-3994.82619770483,4.21100000000024,-3994.8261975817
50,170,0,-4500.19796929022,0,-4500.19796919336
50,170,0,-4107.00025103427,0,-4083.08515032068
10,50,0.0080000000000382,-501.687365075895,7.81600000000003,-501.687365064298
10,50,0,-471.693670755809,0,-84.036630043257
10,50,0.0069999999996071,-689.67330163663,7.81800000000021,-689.673301612869
10,50,0,-541.507152320636,0,-39.6310428643722
10,50,0,-634.590778666017,0,-289.022424720239
20,80,0.0080000000000382,-1211.82179361594,10.336,-1211.82179358488
20,80,0,-1260.40938857924,0,796.991136180708
20,80,0.0069999999996071,-1083.55722655461,10.3360000000002,-1083.55722650889
20,80,0,-717.969203357398,0,-717.96920332871
20,80,0,-1274.00448290875,0,-1274.00448286128
30,110,0.00799999999981083,-2598.45747254217,10.26,178.354474534671
30,110,0,-2397.60150933367,0,-367.866219748614
30,110,0.00600000000031287,-2323.3338975699,10.2610000000004,-2306.09102526009
30,110,0,-2785.15344220128,0,-2785.15344211275
30,110,0,-2623.85764621069,0,-2616.46672915139
40,140,0.00400000000013279,-3457.98037693676,10.932,-3457.98037680849
40,140,0,-2161.898953852,0,-2161.89895377975
40,140,0.00700000000051659,-2997.30781063316,10.933,-2997.30781055949
40,140,0,-2840.97535314052,0,-2840.97535305797
40,140,0,-2789.67715088061,0,-2789.67715078504
50,170,0.0080000000000382,-3591.25285527199,10.6880000000001,-3591.25285516932
50,170,0,-4151.21644547023,0,-4151.21644530528
50,170,0.00600000000031287,-3994.82619770483,10.6880000000001,-3994.8261975817
50,170,0,-4500.19796929022,0,-4500.19796919336
50,170,0,-4107.00025103427,0,-4083.08515032068
